antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'GA_category=High', 'Pts_category=Low'})",frozenset({'xGA_category=High'}),0.3,0.35,0.3,1.0,2.857142857142857,1.0,0.195,inf,0.9285714285714286,0.8571428571428573,1.0,0.9285714285714286
"frozenset({'GA_category=High', 'xGA_category=High'})",frozenset({'Pts_category=Low'}),0.3,0.35,0.3,1.0,2.857142857142857,1.0,0.195,inf,0.9285714285714286,0.8571428571428573,1.0,0.9285714285714286
"frozenset({'Pts_category=Low', 'xGA_category=High'})",frozenset({'GA_category=High'}),0.3,0.35,0.3,1.0,2.857142857142857,1.0,0.195,inf,0.9285714285714286,0.8571428571428573,1.0,0.9285714285714286
frozenset({'GA_category=High'}),"frozenset({'Pts_category=Low', 'xGA_category=High'})",0.35,0.3,0.3,0.8571428571428572,2.8571428571428577,1.0,0.195,4.900000000000002,1.0,0.8571428571428573,0.7959183673469389,0.9285714285714286
frozenset({'Pts_category=Low'}),"frozenset({'GA_category=High', 'xGA_category=High'})",0.35,0.3,0.3,0.8571428571428572,2.8571428571428577,1.0,0.195,4.900000000000002,1.0,0.8571428571428573,0.7959183673469389,0.9285714285714286
frozenset({'xGA_category=High'}),"frozenset({'GA_category=High', 'Pts_category=Low'})",0.35,0.3,0.3,0.8571428571428572,2.8571428571428577,1.0,0.195,4.900000000000002,1.0,0.8571428571428573,0.7959183673469389,0.9285714285714286
frozenset({'GA_category=High'}),frozenset({'Pts_category=Low'}),0.35,0.35,0.3,0.8571428571428572,2.448979591836735,1.0,0.1775,4.5500000000000025,0.9102564102564101,0.75,0.7802197802197803,0.8571428571428572
frozenset({'Pts_category=Low'}),frozenset({'GA_category=High'}),0.35,0.35,0.3,0.8571428571428572,2.448979591836735,1.0,0.1775,4.5500000000000025,0.9102564102564101,0.75,0.7802197802197803,0.8571428571428572
frozenset({'GA_category=High'}),frozenset({'xGA_category=High'}),0.35,0.35,0.3,0.8571428571428572,2.448979591836735,1.0,0.1775,4.5500000000000025,0.9102564102564101,0.75,0.7802197802197803,0.8571428571428572
frozenset({'xGA_category=High'}),frozenset({'GA_category=High'}),0.35,0.35,0.3,0.8571428571428572,2.448979591836735,1.0,0.1775,4.5500000000000025,0.9102564102564101,0.75,0.7802197802197803,0.8571428571428572
frozenset({'Pts_category=Low'}),frozenset({'xGA_category=High'}),0.35,0.35,0.3,0.8571428571428572,2.448979591836735,1.0,0.1775,4.5500000000000025,0.9102564102564101,0.75,0.7802197802197803,0.8571428571428572
frozenset({'xGA_category=High'}),frozenset({'Pts_category=Low'}),0.35,0.35,0.3,0.8571428571428572,2.448979591836735,1.0,0.1775,4.5500000000000025,0.9102564102564101,0.75,0.7802197802197803,0.8571428571428572
